source_layer,source_file,source_name,source_node_index,source_mesh,system,is_guide,dimensions_m,bounds_min_m,bounds_max_m,vertex_count,face_count
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Roof rail,87,Roof rail,body,False,"[2.4000000953674316, 0.09000000357627869, 0.07000000029802322]","[-1.2000000476837158, 2.5149999409914017, 0.58500000461936]","[1.2000000476837158, 2.6049999445676804, 0.6550000049173832]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Roof rail.001,89,Roof rail.001,body,False,"[2.4000000953674316, 0.09000000357627869, 0.07000000029802322]","[-1.2000000476837158, 2.5149999409914017, -0.6550000049173832]","[1.2000000476837158, 2.6049999445676804, -0.58500000461936]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Round fog lamp,94,Round fog lamp,body,False,"[0.03500000014901161, 0.1899999976158142, 0.1899999976158142]","[2.5175000857561827, 0.9249999821186066, 0.24819999933242798]","[2.5525000859051943, 1.1149999797344208, 0.4381999969482422]",288,188
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Round fog lamp.001,97,Round fog lamp.001,body,False,"[0.03500000014901161, 0.1899999976158142, 0.1899999976158142]","[2.5175000857561827, 0.9249999821186066, -0.4381999969482422]","[2.5525000859051943, 1.1149999797344208, -0.24819999933242798]",288,188
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Rounded wheel arch fender,63,Rounded wheel arch fender,body,False,"[0.9600006639957428, 1.059999942779541, 0.20000021904706955]","[1.0799994468688965, 0.33000004291534424, -0.9400001093745232]","[2.0400001108646393, 1.3899999856948853, -0.7399998903274536]",4512,2208
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Rounded wheel arch fender.001,60,Rounded wheel arch fender.001,body,False,"[0.9600006639957428, 1.059999942779541, 0.20000021904706955]","[-2.100000500679016, 0.33000004291534424, 0.7399998381733894]","[-1.1399998366832733, 1.3899999856948853, 0.940000057220459]",4512,2208
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Rounded wheel arch fender.002,61,Rounded wheel arch fender.002,body,False,"[0.9600006639957428, 1.059999942779541, 0.20000021904706955]","[-2.100000500679016, 0.33000004291534424, -0.9400001093745232]","[-1.1399998366832733, 1.3899999856948853, -0.7399998903274536]",4512,2208
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Rounded wheel arch fender.003,62,Rounded wheel arch fender.003,body,False,"[0.9600006639957428, 1.059999942779541, 0.20000021904706955]","[1.0799994468688965, 0.33000004291534424, 0.7399998381733894]","[2.0400001108646393, 1.3899999856948853, 0.940000057220459]",4512,2208
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Scale bar,142,Scale bar,body,True,"[2.0, 0.035999998450279236, 0.035999998450279236]","[-1.0, 0.12200000137090683, 1.7020000293850899]","[1.0, 0.15799999982118607, 1.738000027835369]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Side mirror,100,Side mirror,body,False,"[0.26000016927719116, 0.20000000298023224, 0.1400001496076584]","[0.7499998658895493, 1.7600000128149986, -1.0500001087784767]","[1.0100000351667404, 1.9600000157952309, -0.9099999591708183]",4512,2208
