source_name,source_node_index,source_mesh,system,is_guide,dimensions_m,bounds_min_m,bounds_max_m,vertex_count,face_count
Sport Trac door skin.002,71,Cube.091,body,False,"[0.7599999904632568, 0.8600000143051147, 0.07000000029802322]","[-0.7299999892711639, 0.9100000262260437, 0.8449999950826168]","[0.030000001192092896, 1.7700000405311584, 0.91499999538064]",24,12
Sport Trac door skin.003,68,Cube.094,body,False,"[0.7599999904632568, 0.8600000143051147, 0.07000000029802322]","[-0.7299999892711639, 0.9100000262260437, -0.91499999538064]","[0.030000001192092896, 1.7700000405311584, -0.8449999950826168]",24,12
Sport Trac tire,21,Torus.007,body,False,"[1.1200000047683716, 1.1200000047683716, 0.3400000035762787]","[0.9999999403953552, 0.17000001668930054, -1.0900000184774399]","[2.119999945163727, 1.2900000214576721, -0.7500000149011612]",5120,2560
Sport Trac tire.001,48,Torus.004,body,False,"[1.1200000047683716, 1.1200000047683716, 0.3400000035762787]","[-2.1800000071525574, 0.17000001668930054, 0.7500000149011612]","[-1.0600000023841858, 1.2900000214576721, 1.0900000184774399]",5120,2560
Sport Trac tire.002,39,Torus.005,body,False,"[1.1200000047683716, 1.1200000047683716, 0.3400000035762787]","[-2.1800000071525574, 0.17000001668930054, -1.0900000184774399]","[-1.0600000023841858, 1.2900000214576721, -0.7500000149011612]",5120,2560
Sport Trac tire.003,30,Torus.006,body,False,"[1.1200000047683716, 1.1200000047683716, 0.3400000035762787]","[0.9999999403953552, 0.17000001668930054, 0.7500000149011612]","[2.119999945163727, 1.2900000214576721, 1.0900000184774399]",5120,2560
Tailgate,51,Cube.107,body,False,"[0.07000000029802322, 0.800000011920929, 1.559999942779541]","[-2.5549999810755253, 0.9799999892711639, -0.7799999713897705]","[-2.484999980777502, 1.780000001192093, 0.7799999713897705]",24,12
Technical ground,0,Cube.062,body,True,"[6.599999904632568, 0.05999999865889549, 4.400000095367432]","[-3.299999952316284, 0.020000001415610313, -2.200000047683716]","[3.299999952316284, 0.0800000000745058, 2.200000047683716]",24,12
Throttle body,214,Cylinder.034,body,False,"[0.1599999964237213, 0.20000000298023224, 0.20000000298023224]","[1.4000000208616257, 1.8800000175833702, -0.10000000149011612]","[1.560000017285347, 2.0800000205636024, 0.10000000149011612]",192,124
Tire,177,Torus.003,body,False,"[1.059999942779541, 1.059999942779541, 0.3199999928474426]","[1.0199999809265137, 0.19000005722045898, -1.070000022649765]","[2.0799999237060547, 1.25, -0.7500000298023224]",2304,1152
Tire.001,189,Torus,body,False,"[1.059999942779541, 1.059999942779541, 0.3199999928474426]","[-2.149999976158142, 0.19000005722045898, 0.7500000298023224]","[-1.090000033378601, 1.25, 1.070000022649765]",2304,1152
Tire.002,185,Torus.001,body,False,"[1.059999942779541, 1.059999942779541, 0.3199999928474426]","[-2.149999976158142, 0.19000005722045898, -1.070000022649765]","[-1.090000033378601, 1.25, -0.7500000298023224]",2304,1152
Tire.003,181,Torus.002,body,False,"[1.059999942779541, 1.059999942779541, 0.3199999928474426]","[1.0199999809265137, 0.19000005722045898, 0.7500000298023224]","[2.0799999237060547, 1.25, 1.070000022649765]",2304,1152
Valve cover,223,Cube.038,body,False,"[0.9200000166893005, 0.1599999964237213, 0.23999999463558197]","[0.5799999535083771, 1.599999949336052, 0.15000001341104507]","[1.4999999701976776, 1.7599999457597733, 0.39000000804662704]",24,12
Valve cover.001,221,Cube.040,body,False,"[0.9200000166893005, 0.1599999964237213, 0.23999999463558197]","[0.5799999535083771, 1.599999949336052, -0.39000000804662704]","[1.4999999701976776, 1.7599999457597733, -0.15000001341104507]",24,12
Vertical tail lamp,50,Cube.108,body,False,"[0.07000000029802322, 0.5, 0.25999999046325684]","[-2.5900000669062138, 1.25, 0.4599999785423279]","[-2.5200000666081905, 1.75, 0.7199999690055847]",24,12
Vertical tail lamp.001,49,Cube.109,body,False,"[0.07000000029802322, 0.5, 0.25999999046325684]","[-2.5900000669062138, 1.25, -0.7199999690055847]","[-2.5200000666081905, 1.75, -0.4599999785423279]",24,12
Wheel center cap,46,Cylinder.071,body,False,"[0.17000000178813934, 0.17000000178813934, 0.1599999964237213]","[-1.7050000056624413, 0.6450000181794167, 0.8491999953985214]","[-1.535000003874302, 0.815000019967556, 1.0091999918222427]",288,188
